lambda	tau	x0	sd_x0	deltaPhi	sd_deltaPhi	b	sd_b	c	sd_c	amu	
nm	ns	J/cm^2	J/cm^2	J/cm^2	J/cm^2	N/MW	N/MW				
248	0.1	0.575771742035428	0.0267627988981323	1.67917764854981	0.525340752109541	0.361967434729938	0.0178156683522476	0.420336623210453	0.0599352246609048	26.98
248	0.25	0.762526112668185	0.0160508764175841	1.66108600271778	0.249837045491988	0.330397312978613	0.0106380539702011	0.420209253387822	0.0281334547983537	26.98
248	0.5	1.05241632426748	0.00859100128630595	1.53551328185337	0.104673159230381	0.308864421502702	0.00547399667553523	0.405546457472093	0.0122653341685132	26.98
248	1	1.49	0.00941325173070166	1.67685471956844	0.109423634008673	0.287155799769158	0.00564416881673063	0.40978668368215	0.011887650805929	26.98
248	2.5	2.10655411677233	0.0122380364664421	3.09274802397989	0.198442322928835	0.269165073427016	0.006062965499836	0.465127341299955	0.013612913062972	26.98
248	5	2.97067030690158	0.0123938372857858	3.64968983704337	0.186861759433353	0.250788231841596	0.0054052831012589	0.465470524463207	0.011686274042694	26.98
248	10	5	0.0339736874774108	1.87187376414805	0.291098407426382	0.272193003112949	0.0206232228327212	0.367180512206226	0.0319372440226685	26.98
532	0.1	0.741416327076854	0.00313777391845915	0.788933591569994	0.0278572067879105	0.353611929734577	0.00149094002262916	0.341290765073606	0.00545398874387991	26.98
532	0.25	1.05	0.00490982000772828	0.714197518614768	0.0415540850582016	0.322119385881791	0.00275595942707977	0.364555756308111	0.00896175491037146	26.98
532	0.5	1.07254572597231	0.0214563887039808	1.9390601767127	0.349587778207692	0.297351982319439	0.00832142479193712	0.471165997973489	0.0360139677851511	26.98
532	1	1.49512602118532	0.0144612139876243	1.98487478397604	0.205763980589819	0.265550287634845	0.00529650232841842	0.47542597811066	0.0206788476706953	26.98
532	2.5	2.14550393937469	0.0485005795504537	4.06610609748254	1.18738165280901	0.244200486415793	0.0148030641041511	0.568091721196076	0.0693437007485187	26.98
532	5	2.9967551259095	0.0425199265641409	4.28670628791278	0.830812414218959	0.221316228301902	0.0116270057649653	0.548848447513634	0.0478060416449996	26.98
532	10	5	0.0128584247669667	2.26510206415637	0.127408865534655	0.214681629172043	0.00442663888462653	0.447803820951942	0.0127258769898258	26.98
1064	1E-4	0.37128	0.0133124799101159	1.02669133561987	0.235065790873938	1.69645805817997	0.29916970192311	0.304127485639763	0.0449869374180123	26.98
1064	1E-3	0.26254	0.0119688333648261	4.61018401290518	1.80330982015556	3.26717742025031	1.09792057378978	0.620853853780042	0.0847546383467925	26.98
1064	0.01	0.271630599271015	0.00931930150416424	2.23675252820629	1.27798479510798	1.14502914711304	0.31042146665744	0.793364689261226	0.134479147642848	26.98
1064	0.1	0.528827351929522	0.00681996864910713	0.388820535548268	0.0556202516772374	0.342863032360725	0.0059108356748932	0.344296745057691	0.0202053701829592	26.98
1064	0.25	0.743287830472776	0.00235230554900565	0.39894217096473	0.0191611782931004	0.319467162214806	0.00181438127980998	0.369128548341003	0.006797455201724	26.98
1064	0.5	1.05032855044893	0.00192050411712745	0.376161941975498	0.0161865622957598	0.286938954076171	0.00153183555780038	0.37798905733705	0.00570700129721021	26.98
1064	1	1.07297796228594	0.0273434949558914	1.43180069321561	0.373372176693725	0.266302661211581	0.0102239614501599	0.474402259963013	0.0513732429002485	26.98
1064	2.5	2.10009328578344	0.00221450242030059	0.710892458284283	0.0212608853533228	0.233626131414664	0.00117708198841315	0.425123778326967	0.00440902629337726	26.98
1064	5	2.19353443810137	0.0941612690582229	4.40679688708443	2.74237786892681	0.214276323502953	0.020123594406747	0.609332121379476	0.154470286802384	26.98
1064	10	3.02728506329887	0.0830344218157719	4.92290220067792	1.95954605220924	0.194579517512411	0.0147439647231662	0.583167672427998	0.101972250721232	26.98
1536	0.1	0.768360919396199	0.0390827334649233	0.659683835231339	0.362361114654726	0.309868194748085	0.0312470394590544	0.357439523809054	0.0885855500319027	26.98
1536	0.25	1.05055484382233	0.00417798532530938	0.320137475473706	0.0316587928894474	0.285083209928682	0.0027254727796867	0.280565304810031	0.0107092077215854	26.98
1536	0.5	1.49	0.0028425974087936	0.332315810595366	0.0249061356474051	0.267803161877714	0.00166387172667943	0.295599811626861	0.00762742874921411	26.98
1536	1	2.10016631321351	0.00357297413464089	0.390958715562845	0.0350860516588381	0.244592375606453	0.00168866890875351	0.31267233461351	0.00875800778629015	26.98
1536	2.5	2.96996204795994	0.00484308010194169	0.929257563103315	0.0457623799100861	0.231962072946026	0.00124069491455942	0.380158419714305	0.00741004344039927	26.98
1536	5	4.19896424037035	0.00791983487727352	1.00355111238785	0.0577024064277458	0.211791692170554	0.00178712447768643	0.360727976901702	0.0100694961511711	26.98
1536	10	5.94	0.0143640669510465	1.28671549952932	0.115534093423607	0.196356976907002	0.00272600711916425	0.357775512055339	0.0169266923502897	26.98
